Generation,Sequence,Fitness,Score,World,Stage,X Position
5,3,2970.0,0,1,1,594
5,4,2970.0,0,1,1,594
5,5,3000.0,200,1,1,594
5,6,3630.0,200,1,1,722
5,7,3630.0,200,1,1,722
5,8,2980.0,100,1,1,594
5,9,2980.0,100,1,1,594
5,10,2970.0,0,1,1,594
5,11,2975.0,100,1,1,593
5,12,3615.0,100,1,1,721
5,13,2980.0,100,1,1,594
5,14,3610.0,0,1,1,722
5,15,2980.0,100,1,1,594
5,16,1480.0,0,1,1,296
5,17,2980.0,100,1,1,594
5,18,2970.0,0,1,1,594
5,19,2980.0,100,1,1,594
5,20,3620.0,100,1,1,722
5,21,2970.0,0,1,1,594
5,22,2970.0,0,1,1,594
5,23,2980.0,100,1,1,594
5,24,3630.0,200,1,1,722
5,25,3610.0,0,1,1,722
5,26,2980.0,100,1,1,594
5,27,1525.0,0,1,1,305
5,28,2975.0,100,1,1,593
5,29,3620.0,100,1,1,722
5,30,2970.0,0,1,1,594
5,31,2980.0,100,1,1,594
5,32,2970.0,0,1,1,594
5,33,3620.0,100,1,1,722
5,34,3620.0,100,1,1,722
5,35,3720.0,1100,1,1,722
5,36,3535.0,0,1,1,707
5,37,3630.0,200,1,1,722
5,38,2965.0,0,1,1,593
5,39,3610.0,0,1,1,722
5,40,3720.0,1100,1,1,722
6,1,3630.0,200,1,1,722
6,2,2970.0,0,1,1,594
6,3,2980.0,100,1,1,594
6,4,2980.0,100,1,1,594
6,5,2970.0,0,1,1,594
6,6,1470.0,0,1,1,294
6,7,3630.0,200,1,1,722
6,8,3630.0,200,1,1,722
6,9,2970.0,0,1,1,594
6,10,3630.0,200,1,1,722
6,11,2970.0,0,1,1,594
6,12,3630.0,200,1,1,722
6,13,2980.0,100,1,1,594
6,14,3000.0,200,1,1,594
6,15,2970.0,0,1,1,594
6,16,3620.0,100,1,1,722
6,17,3630.0,200,1,1,722
6,18,2980.0,100,1,1,594
6,19,3070.0,1000,1,1,594
6,20,2980.0,100,1,1,594
6,21,3070.0,1000,1,1,594
6,22,3610.0,0,1,1,722
6,23,2970.0,0,1,1,594
6,24,3620.0,100,1,1,722
6,25,3720.0,1100,1,1,722
6,26,2980.0,100,1,1,594
6,27,1500.0,0,1,1,300
6,28,3065.0,1000,1,1,593
6,29,1515.0,0,1,1,303
6,30,2965.0,0,1,1,593
6,31,2970.0,0,1,1,594
6,32,1495.0,0,1,1,299
6,33,2980.0,100,1,1,594
6,34,3620.0,100,1,1,722
6,35,3380.0,100,1,1,674
6,36,2970.0,0,1,1,594
6,37,2970.0,0,1,1,594
6,38,2980.0,100,1,1,594
6,39,2980.0,100,1,1,594
6,40,2980.0,100,1,1,594
7,1,2970.0,0,1,1,594
7,2,3070.0,1000,1,1,594
7,3,3620.0,100,1,1,722
7,4,2970.0,0,1,1,594
7,5,2980.0,100,1,1,594
7,6,1470.0,0,1,1,294
7,7,2970.0,0,1,1,594
7,8,3620.0,100,1,1,722
7,9,3385.0,100,1,1,675
7,10,2980.0,100,1,1,594
7,11,3620.0,100,1,1,722
7,12,3610.0,0,1,1,722
7,13,3620.0,100,1,1,722
7,14,2970.0,0,1,1,594
7,15,2970.0,0,1,1,594
7,16,2970.0,0,1,1,594
7,17,3630.0,200,1,1,722
7,18,3630.0,200,1,1,722
7,19,1495.0,0,1,1,299
7,20,2980.0,100,1,1,594
7,21,2980.0,100,1,1,594
7,22,3630.0,200,1,1,722
7,23,3000.0,200,1,1,594
7,24,2980.0,100,1,1,594
7,25,3630.0,200,1,1,722
7,26,2970.0,0,1,1,594
7,27,3630.0,200,1,1,722
7,28,2970.0,0,1,1,594
7,29,2970.0,0,1,1,594
7,30,2980.0,100,1,1,594
7,31,2970.0,0,1,1,594
7,32,2970.0,0,1,1,594
7,33,2970.0,0,1,1,594
7,34,2970.0,0,1,1,594
7,35,2980.0,100,1,1,594
7,36,1545.0,0,1,1,309
7,37,2980.0,100,1,1,594
7,38,3000.0,200,1,1,594
7,39,1525.0,0,1,1,305
7,40,3610.0,0,1,1,722
8,1,2965.0,0,1,1,593
8,2,3620.0,100,1,1,722
8,3,3620.0,100,1,1,722
8,4,2980.0,100,1,1,594
8,5,2980.0,100,1,1,594
8,6,3630.0,200,1,1,722
8,7,3625.0,200,1,1,721
8,8,2980.0,100,1,1,594
8,9,2980.0,100,1,1,594
8,10,3625.0,200,1,1,721
8,11,2970.0,0,1,1,594
8,12,3630.0,200,1,1,722
8,13,2975.0,100,1,1,593
8,14,2980.0,100,1,1,594
8,15,2980.0,100,1,1,594
8,16,3630.0,200,1,1,722
8,17,2970.0,0,1,1,594
8,18,3620.0,100,1,1,722
8,19,2980.0,100,1,1,594
8,20,3620.0,100,1,1,722
8,21,3500.0,100,1,1,698
8,22,2980.0,100,1,1,594
8,23,3300.0,100,1,1,658
8,24,2980.0,100,1,1,594
8,25,1490.0,0,1,1,298
8,26,1470.0,0,1,1,294
8,27,3530.0,100,1,1,704
8,28,3630.0,200,1,1,722
8,29,3630.0,200,1,1,722
8,30,3610.0,0,1,1,722
8,31,3630.0,200,1,1,722
8,32,2980.0,100,1,1,594
8,33,3620.0,100,1,1,722
8,34,3630.0,200,1,1,722
8,35,3630.0,200,1,1,722
8,36,3070.0,1000,1,1,594
8,37,2970.0,0,1,1,594
8,38,3465.0,100,1,1,691
8,39,3720.0,1100,1,1,722
8,40,3620.0,100,1,1,722
9,1,2980.0,100,1,1,594
9,2,3630.0,200,1,1,722
9,3,2975.0,100,1,1,593
9,4,2980.0,100,1,1,594
9,5,3630.0,200,1,1,722
9,6,3000.0,200,1,1,594
9,7,3630.0,200,1,1,722
9,8,3070.0,1000,1,1,594
9,9,3610.0,0,1,1,722
9,10,3525.0,100,1,1,703
9,11,2970.0,0,1,1,594
9,12,2980.0,100,1,1,594
9,13,3070.0,1000,1,1,594
9,14,2980.0,100,1,1,594
9,15,3620.0,100,1,1,722
9,16,3720.0,1100,1,1,722
9,17,3620.0,100,1,1,722
9,18,2980.0,100,1,1,594
9,19,2980.0,100,1,1,594
9,20,3630.0,200,1,1,722
9,21,2980.0,100,1,1,594
9,22,3620.0,100,1,1,722
9,23,3630.0,200,1,1,722
9,24,2980.0,100,1,1,594
9,25,3660.0,400,1,1,722
9,26,2980.0,100,1,1,594
9,27,3720.0,1100,1,1,722
9,28,3630.0,200,1,1,722
9,29,2970.0,0,1,1,594
9,30,2980.0,100,1,1,594
9,31,2980.0,100,1,1,594
9,32,3630.0,200,1,1,722
9,33,2970.0,0,1,1,594
9,34,2980.0,100,1,1,594
9,35,2970.0,0,1,1,594
9,36,2980.0,100,1,1,594
9,37,3630.0,200,1,1,722
9,38,2980.0,100,1,1,594
9,39,2970.0,0,1,1,594
9,40,2980.0,100,1,1,594
10,1,2970.0,0,1,1,594
10,2,2970.0,0,1,1,594
10,3,2970.0,0,1,1,594
10,4,2980.0,100,1,1,594
10,5,2980.0,100,1,1,594
10,6,1485.0,0,1,1,297
10,7,2965.0,0,1,1,593
10,8,3630.0,200,1,1,722
10,9,3720.0,1100,1,1,722
10,10,2970.0,0,1,1,594
10,11,3660.0,400,1,1,722
10,12,3620.0,100,1,1,722
10,13,3720.0,1100,1,1,722
10,14,2980.0,100,1,1,594
10,15,2970.0,0,1,1,594
10,16,2980.0,100,1,1,594
10,17,2970.0,0,1,1,594
10,18,3630.0,200,1,1,722
10,19,1520.0,0,1,1,304
10,20,2980.0,100,1,1,594
10,21,3070.0,1000,1,1,594
10,22,2980.0,100,1,1,594
10,23,1505.0,0,1,1,301
10,24,1505.0,0,1,1,301
10,25,2980.0,100,1,1,594
10,26,3505.0,0,1,1,701
10,27,3620.0,100,1,1,722
10,28,2970.0,0,1,1,594
10,29,2980.0,100,1,1,594
10,30,2980.0,100,1,1,594
10,31,2970.0,0,1,1,594
10,32,3660.0,400,1,1,722
10,33,2980.0,100,1,1,594
10,34,2980.0,100,1,1,594
10,35,3010.0,300,1,1,594
10,36,2980.0,100,1,1,594
10,37,2980.0,100,1,1,594
10,38,3630.0,200,1,1,722
10,39,3720.0,1100,1,1,722
10,40,3620.0,100,1,1,722
11,1,3630.0,200,1,1,722
11,2,3660.0,400,1,1,722
11,3,3660.0,400,1,1,722
11,4,3010.0,300,1,1,594
11,5,1490.0,0,1,1,298
11,6,3630.0,200,1,1,722
11,7,3610.0,0,1,1,722
11,8,3650.0,300,1,1,722
11,9,1485.0,0,1,1,297
11,10,3630.0,200,1,1,722
11,11,3630.0,200,1,1,722
11,12,3650.0,300,1,1,722
11,13,2980.0,100,1,1,594
11,14,3620.0,100,1,1,722
11,15,2980.0,100,1,1,594
11,16,3620.0,100,1,1,722
11,17,2980.0,100,1,1,594
11,18,3525.0,0,1,1,705
11,19,3620.0,100,1,1,722
11,20,3630.0,200,1,1,722
11,21,3070.0,1000,1,1,594
11,22,2980.0,100,1,1,594
11,23,3660.0,400,1,1,722
11,24,3720.0,1100,1,1,722
11,25,3620.0,100,1,1,722
11,26,2970.0,0,1,1,594
11,27,3710.0,1000,1,1,722
11,28,3630.0,200,1,1,722
11,29,3620.0,100,1,1,722
11,30,3620.0,100,1,1,722
11,31,3620.0,100,1,1,722
11,32,2970.0,0,1,1,594
11,33,3065.0,1000,1,1,593
11,34,2980.0,100,1,1,594
11,35,2980.0,100,1,1,594
11,36,3620.0,100,1,1,722
11,37,3630.0,200,1,1,722
11,38,3620.0,100,1,1,722
11,39,3010.0,300,1,1,594
11,40,3620.0,100,1,1,722
12,1,3660.0,400,1,1,722
12,2,3010.0,300,1,1,594
12,3,3630.0,200,1,1,722
12,4,3630.0,200,1,1,722
12,5,3650.0,300,1,1,722
12,6,3630.0,200,1,1,722
12,7,3610.0,0,1,1,722
12,8,3630.0,200,1,1,722
