Generation,Sequence,Fitness,Score,World,Stage,X Position
5,5,3002.0,200,1,1,594
5,6,200.0,0,1,1,40
5,7,2981.0,100,1,1,594
5,8,2965.0,0,1,1,593
5,9,2981.0,100,1,1,594
5,10,2970.0,0,1,1,594
5,11,3632.0,200,1,1,722
5,12,2981.0,100,1,1,594
5,13,2970.0,0,1,1,594
5,14,2981.0,100,1,1,594
5,15,3621.0,100,1,1,722
5,16,2981.0,100,1,1,594
5,17,200.0,0,1,1,40
5,18,2970.0,0,1,1,594
5,19,3658.0,300,1,1,723
5,20,2981.0,100,1,1,594
5,21,2970.0,0,1,1,594
5,22,3632.0,200,1,1,722
5,23,3632.0,200,1,1,722
5,24,2981.0,100,1,1,594
5,25,3637.0,200,1,1,723
5,26,2970.0,0,1,1,594
5,27,2981.0,100,1,1,594
5,28,3616.0,100,1,1,721
5,29,2970.0,0,1,1,594
5,30,3637.0,200,1,1,723
5,31,211.0,100,1,1,40
5,32,2970.0,0,1,1,594
5,33,2970.0,0,1,1,594
5,34,2970.0,0,1,1,594
5,35,2970.0,0,1,1,594
5,36,232.0,200,1,1,40
5,37,2981.0,100,1,1,594
5,38,200.0,0,1,1,40
5,39,3632.0,200,1,1,722
5,40,2970.0,0,1,1,594
6,1,3621.0,100,1,1,722
6,2,2981.0,100,1,1,594
6,3,2970.0,0,1,1,594
6,4,3632.0,200,1,1,722
6,5,2970.0,0,1,1,594
6,6,3658.0,300,1,1,723
6,7,2970.0,0,1,1,594
6,8,2970.0,0,1,1,594
6,9,2981.0,100,1,1,594
6,10,2981.0,100,1,1,594
6,11,3626.0,100,1,1,723
6,12,2970.0,0,1,1,594
6,13,3653.0,300,1,1,722
6,14,2970.0,0,1,1,594
6,15,200.0,0,1,1,40
6,16,3653.0,300,1,1,722
6,17,3658.0,300,1,1,723
6,18,2970.0,0,1,1,594
6,19,200.0,0,1,1,40
6,20,3632.0,200,1,1,722
6,21,2970.0,0,1,1,594
6,22,200.0,0,1,1,40
6,23,2981.0,100,1,1,594
6,24,2981.0,100,1,1,594
6,25,3621.0,100,1,1,722
6,26,3637.0,200,1,1,723
6,27,2981.0,100,1,1,594
6,28,2981.0,100,1,1,594
6,29,200.0,0,1,1,40
6,30,2981.0,100,1,1,594
6,31,2981.0,100,1,1,594
6,32,2981.0,100,1,1,594
6,33,3653.0,300,1,1,722
6,34,3632.0,200,1,1,722
6,35,2965.0,0,1,1,593
6,36,2970.0,0,1,1,594
6,37,2975.0,0,1,1,595
6,38,200.0,0,1,1,40
6,39,2981.0,100,1,1,594
6,40,2981.0,100,1,1,594
7,1,3002.0,200,1,1,594
7,2,2997.0,200,1,1,593
7,3,3002.0,200,1,1,594
7,4,2986.0,100,1,1,595
7,5,3002.0,200,1,1,594
7,6,2970.0,0,1,1,594
7,7,2981.0,100,1,1,594
7,8,200.0,0,1,1,40
7,9,3658.0,300,1,1,723
7,10,2981.0,100,1,1,594
7,11,3632.0,200,1,1,722
7,12,232.0,200,1,1,40
7,13,3627.0,200,1,1,721
7,14,211.0,100,1,1,40
7,15,232.0,200,1,1,40
7,16,3648.0,300,1,1,721
7,17,2981.0,100,1,1,594
7,18,200.0,0,1,1,40
7,19,3626.0,100,1,1,723
7,20,3642.0,200,1,1,722
7,21,3002.0,200,1,1,594
7,22,2965.0,0,1,1,593
7,23,3002.0,200,1,1,594
7,24,2970.0,0,1,1,594
7,25,2970.0,0,1,1,594
7,26,2970.0,0,1,1,594
7,27,3007.0,200,1,1,595
7,28,3658.0,300,1,1,723
7,29,2970.0,0,1,1,594
7,30,3653.0,300,1,1,722
7,31,211.0,100,1,1,40
7,32,3658.0,300,1,1,723
7,33,2975.0,0,1,1,595
7,34,2970.0,0,1,1,594
7,35,2981.0,100,1,1,594
7,36,2970.0,0,1,1,594
7,37,3648.0,300,1,1,721
7,38,3621.0,100,1,1,722
7,39,3002.0,200,1,1,594
7,40,2981.0,100,1,1,594
8,1,2970.0,0,1,1,594
8,2,2970.0,0,1,1,594
8,3,3658.0,300,1,1,723
8,4,3002.0,200,1,1,594
8,5,2986.0,100,1,1,595
8,6,3002.0,200,1,1,594
8,7,232.0,200,1,1,40
8,8,3658.0,300,1,1,723
8,9,3658.0,300,1,1,723
8,10,3610.0,0,1,1,722
8,11,3007.0,200,1,1,595
8,12,2970.0,0,1,1,594
8,13,3653.0,300,1,1,722
8,14,3621.0,100,1,1,722
8,15,3002.0,200,1,1,594
8,16,2970.0,0,1,1,594
8,17,200.0,0,1,1,40
8,18,200.0,0,1,1,40
8,19,2970.0,0,1,1,594
8,20,2970.0,0,1,1,594
8,21,3653.0,300,1,1,722
8,22,3658.0,300,1,1,723
8,23,2975.0,0,1,1,595
8,24,200.0,0,1,1,40
8,25,2986.0,100,1,1,595
8,26,3626.0,100,1,1,723
8,27,200.0,0,1,1,40
8,28,3658.0,300,1,1,723
8,29,2981.0,100,1,1,594
8,30,2970.0,0,1,1,594
8,31,3653.0,300,1,1,722
8,32,200.0,0,1,1,40
8,33,232.0,200,1,1,40
8,34,2970.0,0,1,1,594
8,35,3039.0,400,1,1,595
8,36,200.0,0,1,1,40
8,37,3653.0,300,1,1,722
8,38,2970.0,0,1,1,594
8,39,2975.0,0,1,1,595
8,40,3007.0,200,1,1,595
9,1,3002.0,200,1,1,594
9,2,2970.0,0,1,1,594
9,3,2986.0,100,1,1,595
9,4,2986.0,100,1,1,595
9,5,2981.0,100,1,1,594
9,6,3621.0,100,1,1,722
9,7,3658.0,300,1,1,723
9,8,3002.0,200,1,1,594
9,9,3007.0,200,1,1,595
9,10,2970.0,0,1,1,594
9,11,3658.0,300,1,1,723
9,12,3610.0,0,1,1,722
9,13,3002.0,200,1,1,594
9,14,2970.0,0,1,1,594
9,15,3002.0,200,1,1,594
9,16,3002.0,200,1,1,594
9,17,3610.0,0,1,1,722
9,18,2970.0,0,1,1,594
9,19,3002.0,200,1,1,594
9,20,200.0,0,1,1,40
9,21,3658.0,300,1,1,723
9,22,3658.0,300,1,1,723
9,23,2986.0,100,1,1,595
9,24,232.0,200,1,1,40
9,25,211.0,100,1,1,40
9,26,3002.0,200,1,1,594
9,27,3653.0,300,1,1,722
9,28,2970.0,0,1,1,594
9,29,3002.0,200,1,1,594
9,30,3002.0,200,1,1,594
9,31,3658.0,300,1,1,723
9,32,2975.0,0,1,1,595
9,33,3621.0,100,1,1,722
9,34,3002.0,200,1,1,594
9,35,3002.0,200,1,1,594
9,36,3002.0,200,1,1,594
9,37,2970.0,0,1,1,594
9,38,3621.0,100,1,1,722
9,39,3621.0,100,1,1,722
9,40,3621.0,100,1,1,722
10,1,3637.0,200,1,1,723
10,2,2970.0,0,1,1,594
10,3,3007.0,200,1,1,595
10,4,2981.0,100,1,1,594
10,5,3658.0,300,1,1,723
10,6,3658.0,300,1,1,723
